#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  0.91067  0.017689  0.007044  0.000352     2.511
   0.00657  0.99354  0.00125  0.91841  0.016258  0.006802  0.000450     2.390
   0.01777  0.98254  0.00329  0.92995  0.014666  0.006470  0.000581     2.267
   0.03051  0.96999  0.00550  0.94385  0.013179  0.006106  0.000734     2.158
   0.04458  0.95611  0.00782  0.95973  0.011838  0.005731  0.000905     2.066
   0.05965  0.94122  0.01015  0.97679  0.010680  0.005368  0.001086     1.990
   0.07541  0.92563  0.01245  0.99415  0.009710  0.005033  0.001269     1.929
   0.09162  0.90958  0.01468  1.01105  0.008915  0.004736  0.001443     1.882
   0.10811  0.89322  0.01683  1.02705  0.008265  0.004476  0.001606     1.847
   0.12481  0.87666  0.01889  1.04201  0.007730  0.004249  0.001756     1.819
   0.14165  0.85993  0.02085  1.05582  0.007288  0.004052  0.001891     1.798
   0.15859  0.84310  0.02274  1.06860  0.006915  0.003879  0.002014     1.782
   0.17561  0.82617  0.02454  1.08046  0.006595  0.003726  0.002125     1.770
   0.19271  0.80916  0.02627  1.09154  0.006316  0.003588  0.002227     1.761
   0.20985  0.79210  0.02793  1.10198  0.006069  0.003462  0.002321     1.753
   0.22703  0.77499  0.02952  1.11191  0.005847  0.003346  0.002409     1.747
   0.24425  0.75785  0.03104  1.12140  0.005644  0.003239  0.002491     1.743
   0.26148  0.74067  0.03251  1.13053  0.005458  0.003138  0.002569     1.739
   0.27874  0.72347  0.03391  1.13940  0.005284  0.003042  0.002644     1.737
   0.29600  0.70626  0.03525  1.14803  0.005122  0.002952  0.002716     1.735
   0.31327  0.68904  0.03653  1.15646  0.004968  0.002865  0.002785     1.734
   0.33054  0.67181  0.03775  1.16478  0.004822  0.002782  0.002853     1.733
   0.34781  0.65458  0.03891  1.17289  0.004684  0.002703  0.002918     1.733
   0.36507  0.63735  0.04001  1.18084  0.004553  0.002626  0.002981     1.734
   0.38234  0.62012  0.04104  1.18864  0.004428  0.002553  0.003041     1.735
   0.39959  0.60289  0.04202  1.19628  0.004310  0.002482  0.003098     1.736
   0.41684  0.58567  0.04292  1.20383  0.004196  0.002414  0.003153     1.738
   0.43409  0.56844  0.04377  1.21116  0.004088  0.002348  0.003204     1.741
   0.45134  0.55121  0.04455  1.21832  0.003986  0.002285  0.003251     1.744
   0.46858  0.53398  0.04526  1.22543  0.003887  0.002223  0.003295     1.748
   0.48583  0.51674  0.04591  1.23233  0.003794  0.002164  0.003333     1.753
   0.50308  0.49950  0.04649  1.23914  0.003705  0.002107  0.003368     1.759
   0.52034  0.48225  0.04701  1.24590  0.003620  0.002051  0.003398     1.765
   0.53761  0.46499  0.04747  1.25255  0.003538  0.001996  0.003422     1.772
   0.55489  0.44771  0.04787  1.25928  0.003459  0.001942  0.003442     1.781
   0.57219  0.43042  0.04821  1.26609  0.003382  0.001889  0.003457     1.790
   0.58950  0.41311  0.04848  1.27301  0.003308  0.001837  0.003466     1.801
   0.60683  0.39578  0.04871  1.28030  0.003234  0.001784  0.003473     1.813
   0.62418  0.37843  0.04888  1.28791  0.003160  0.001731  0.003474     1.826
